Data;Energia elétrica - consumo - região Nordeste (NE) - quantidade - GWh - Eletrobras - ELETRO12_CEENE12;
1979.01;1031;
1979.02;1029;
1979.03;1036;
1979.04;992;
1979.05;1028;
1979.06;1012;
1979.07;1039;
1979.08;1055;
1979.09;1074;
1979.10;1094;
1979.11;1130;
1979.12;1171;
1980.01;1198;
1980.02;1145;
1980.03;1168;
1980.04;1105;
1980.05;1171;
1980.06;1158;
1980.07;1194;
1980.08;1212;
1980.09;1194;
1980.10;1212;
1980.11;1210;
1980.12;1251;
1981.01;1276;
1981.02;1241;
1981.03;1225;
1981.04;1236;
1981.05;1256;
1981.06;1232;
1981.07;1242;
1981.08;1253;
1981.09;1236;
1981.10;1299;
1981.11;1320;
1981.12;1346;
1982.01;1397;
1982.02;1304;
1982.03;1342;
1982.04;1344;
1982.05;1310;
1982.06;1324;
1982.07;1319;
1982.08;1342;
1982.09;1375;
1982.10;1417;
1982.11;1413;
1982.12;1455;
1983.01;1468;
1983.02;1379;
1983.03;1435;
1983.04;1515;
1983.05;1501;
1983.06;1500;
1983.07;1542;
1983.08;1551;
1983.09;1573;
1983.10;1611;
1983.11;1622;
1983.12;1652;
1984.01;1649;
1984.02;1666;
1984.03;1698;
1984.04;1586;
1984.05;1611;
1984.06;1664;
1984.07;1678;
1984.08;1790;
1984.09;1854;
1984.10;1906;
1984.11;1942;
1984.12;2026;
1985.01;2026;
1985.02;1924;
1985.03;1928;
1985.04;1957;
1985.05;1943;
1985.06;1969;
1985.07;1960;
1985.08;1983;
1985.09;1988;
1985.10;2185;
1985.11;2046;
1985.12;2141;
1986.01;2149;
1986.02;2021;
1986.03;2058;
1986.04;2207;
1986.05;2272;
1986.06;2275;
1986.07;2313;
1986.08;2387;
1986.09;2380;
1986.10;2434;
1986.11;2390;
1986.12;2417;
1987.01;2528;
1987.02;2304;
1987.03;2219;
1987.04;2028;
1987.05;2078;
1987.06;2012;
1987.07;2048;
1987.08;2090;
1987.09;2150;
1987.10;2249;
1987.11;2254;
1987.12;2260;
1988.01;2309;
1988.02;2252;
1988.03;2347;
1988.04;2310;
1988.05;2308;
1988.06;2336;
1988.07;2321;
1988.08;2293;
1988.09;2373;
1988.10;2523;
1988.11;2349;
1988.12;2447;
1989.01;2453;
1989.02;2388;
1989.03;2441;
1989.04;2404;
1989.05;2448;
1989.06;2499;
1989.07;2518;
1989.08;2512;
1989.09;2547;
1989.10;2593;
1989.11;2690;
1989.12;2615;
1990.01;2639;
1990.02;2519;
1990.03;2598;
1990.04;2507;
1990.05;2489;
1990.06;2488;
1990.07;2544;
1990.08;2615;
1990.09;2662;
1990.10;2706;
1990.11;2820;
1990.12;2783;
1991.01;2808;
1991.02;2673;
1991.03;2670;
1991.04;2692;
1991.05;2775;
1991.06;2790;
1991.07;2859;
1991.08;2861;
1991.09;2797;
1991.10;2922;
1991.11;2925;
1991.12;2853;
1992.01;2931;
1992.02;2800;
1992.03;2832;
1992.04;2825;
1992.05;2871;
1992.06;2822;
1992.07;2854;
1992.08;2836;
1992.09;2865;
1992.10;2904;
1992.11;2874;
1992.12;2884;
1993.01;2911;
1993.02;2718;
1993.03;2910;
1993.04;2926;
1993.05;2924;
1993.06;2895;
1993.07;2920;
1993.08;2912;
1993.09;2940;
1993.10;2955;
1993.11;2958;
1993.12;2977;
1994.01;3022;
1994.02;2818;
1994.03;2929;
1994.04;2893;
1994.05;2860;
1994.06;2877;
1994.07;2829;
1994.08;2908;
1994.09;2973;
1994.10;2982;
1994.11;3031;
1994.12;3086;
1995.01;3256;
1995.02;2961;
1995.03;3244;
1995.04;3115;
1995.05;3090;
1995.06;3059;
1995.07;3186;
1995.08;3182;
1995.09;3221;
1995.10;3273;
1995.11;3364;
1995.12;3311;
1996.01;3400;
1996.02;3350;
1996.03;3420;
1996.04;3391;
1996.05;3372;
1996.06;3363;
1996.07;3358;
1996.08;3400;
1996.09;3421;
1996.10;3503;
1996.11;3455;
1996.12;3492;
1997.01;3644;
1997.02;3449;
1997.03;3427;
1997.04;3470;
1997.05;3529;
1997.06;3491;
1997.07;3533;
1997.08;3581;
1997.09;3565;
1997.10;3770;
1997.11;3804;
1997.12;3762;
1998.01;3864;
1998.02;3666;
1998.03;3788;
1998.04;3885;
1998.05;3904;
1998.06;3733;
1998.07;3803;
1998.08;3806;
1998.09;3833;
1998.10;3937;
1998.11;3982;
1998.12;3915;
1999.01;3968;
1999.02;3770;
1999.03;3814;
1999.04;3978;
1999.05;3885;
1999.06;3865;
1999.07;3922;
1999.08;3918;
1999.09;3956;
1999.10;4052;
1999.11;4097;
1999.12;4109;
2000.01;4072;
2000.02;4023;
2000.03;4112;
2000.04;4059;
2000.05;4109;
2000.06;4099;
2000.07;4056;
2000.08;4122;
2000.09;4187;
2000.10;4437;
2000.11;4208;
2000.12;4249;
2001.01;4287;
2001.02;4135;
2001.03;4294;
2001.04;4263;
2001.05;4341;
2001.06;3762;
2001.07;3233;
2001.08;3254;
2001.09;3268;
2001.10;3368;
2001.11;3420;
2001.12;3432;
2002.01;3671;
2002.02;3556;
2002.03;3583;
2002.04;3899;
2002.05;3957;
2002.06;3897;
2002.07;3964;
2002.08;4039;
2002.09;4052;
2002.10;4225;
2002.11;4272;
2002.12;4220;
2003.01;4315;
2003.02;4047;
2003.03;4117;
2003.04;4129;
2003.05;4094;
2003.06;4126;
2003.07;4088;
2003.08;4009;
2003.09;4058;
2003.10;4398;
2003.11;4359;
2003.12;4452;
2004.01;4457;
2004.02;4140;
2004.03;4373;
2004.04;4462;
2004.05;4424;
2004.06;4409;
2004.07;4376;
2004.08;4439;
2004.09;4570;
2004.10;4658;
2004.11;4708;
2004.12;4771;
2005.01;4775;
2005.02;4526;
2005.03;4692;
2005.04;4675;
2005.05;4739;
2005.06;4575;
2005.07;4644;
2005.08;4740;
2005.09;4764;
2005.10;4850;
2005.11;4919;
2005.12;5005;
2006.01;4913;
2006.02;4704;
2006.03;4976;
2006.04;4856;
2006.05;4794;
2006.06;4770;
2006.07;4760;
2006.08;4939;
2006.09;4951;
2006.10;5142;
2006.11;5133;
2006.12;5123;
2007.01;5185;
2007.02;4883;
2007.03;4985;
2007.04;5118;
2007.05;5133;
2007.06;5080;
2007.07;5132;
2007.08;5213;
2007.09;5148;
2007.10;5441;
2007.11;5503;
2007.12;5547;
2008.01;5505;
2008.02;5285;
2008.03;5366;
2008.04;5267;
2008.05;5437;
2008.06;5241;
2008.07;5334;
2008.08;5400;
2008.09;5462;
2008.10;5685;
2008.11;5586;
2008.12;5536;
2009.01;5340;
2009.02;5099;
2009.03;5391;
2009.04;5308;
2009.05;5190;
2009.06;5122;
2009.07;5257;
2009.08;5501;
2009.09;5581;
2009.10;5780;
2009.11;5706;
2009.12;5968;
2010.01;5740;
2010.02;5589;
2010.03;6119;
2010.04;5884;
2010.05;5960;
2010.06;5906;
2010.07;5844;
2010.08;5833;
2010.09;5896;
2010.10;6123;
2010.11;6136;
2010.12;6166;
2011.01;5989;
2011.02;5503;
2011.03;6027;
2011.04;5967;
2011.05;5899;
2011.06;5809;
2011.07;5937;
2011.08;6093;
2011.09;6093;
2011.10;6216;
2011.11;6138;
2011.12;6244;
2012.01;6298;
2012.02;6010;
2012.03;6408;
2012.04;6272;
2012.05;6436;
2012.06;6135;
2012.07;6112;
2012.08;6324;
2012.09;6288;
2012.10;6428;
2012.11;6421;
2012.12;6479;
2013.01;6664;
2013.02;6455;
2013.03;6709;
2013.04;6855;
2013.05;6664;
2013.06;6387;
2013.07;6538;
2013.08;6584;
2013.09;6540;
2013.10;6836;
2013.11;6763;
2013.12;6737;
2014.01;6890;
2014.02;6624;
2014.03;6861;
2014.04;6688;
2014.05;6689;
2014.06;6385;
2014.07;6563;
2014.08;6664;
2014.09;6733;
2014.10;6942;
2014.11;6934;
2014.12;6881;
2015.01;6911;
2015.02;6695;
2015.03;6851;
2015.04;6679;
2015.05;6663;
2015.06;6444;
2015.07;6221;
2015.08;6340;
2015.09;6392;
2015.10;6645;
2015.11;6664;
2015.12;6803;
2016.01;6544;
2016.02;6285;
2016.03;6801;
2016.04;6612;
2016.05;6724;
2016.06;6604;
2016.07;6471;
2016.08;6525;
2016.09;6631;
2016.10;6689;
2016.11;6826;
2016.12;6868;
2017.01;6698;
2017.02;6350;
2017.03;6797;
2017.04;6569;
2017.05;6679;
2017.06;6598;
2017.07;6386;
2017.08;6509;
2017.09;6518;
2017.10;6878;
2017.11;6913;
2017.12;6910;
2018.01;6719;
2018.02;6357;
2018.03;6588;
2018.04;6668;
2018.05;6660;
2018.06;6603;
2018.07;6527;
2018.08;6695;
2018.09;6644;
2018.10;7060;
2018.11;7191;
2018.12;7007;
2019.01;6979;
2019.02;6828;
2019.03;7057;
2019.04;6780;
2019.05;7063;
2019.06;6633;
2019.07;6680;
2019.08;6553;
2019.09;6641;
2019.10;7146;
2019.11;7311;
2019.12;7551;
2020.01;7128;
2020.02;6811;
2020.03;6935;
2020.04;6362;
2020.05;6360;
2020.06;6238;
2020.07;6533;
2020.08;6528;
2020.09;6829;
2020.10;7350;
2020.11;7035;
2020.12;7111;
2021.01;7417;
2021.02;7042;
2021.03;7243;
2021.04;7204;
2021.05;6973;
2021.06;6993;
2021.07;6993;
2021.08;7109;
2021.09;7189;
2021.10;7539;
2021.11;7483;
2021.12;7713;
2022.01;7270;
2022.02;6998;
2022.03;7460;
2022.04;7240;
2022.05;7271;
2022.06;7022;
2022.07;7105;
2022.08;7299;
2022.09;7423;
2022.10;7645;
2022.11;7785;
2022.12;7692;
2023.01;7661;
2023.02;7495;
2023.03;7915;
2023.04;7809;
2023.05;7941;
2023.06;7728;
2023.07;7464;
2023.08;7737;
2023.09;8057;
2023.10;8202;
2023.11;8478;
2023.12;8484;
2024.01;8425;
2024.02;8144;
2024.03;8234;
2024.04;8329;
2024.05;8331;
2024.06;8220;
2024.07;8009;
2024.08;8174;
2024.09;8306;
2024.10;8376;
2024.11;8751;
2024.12;8764;
2025.01;8478;
2025.02;8210;
2025.03;8362;
2025.04;8452;
2025.05;8710;
2025.06;8279;
2025.07;8162;
2025.08;8279;
2025.09;8335;
2025.10;8467;
