ExperimentID,Serie,Modelo,N_Repeticoes,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,theil_mean,theil_std,ARV_mean,ARV_std,IA_mean,IA_std,POCID_mean,POCID_std
chamados,Unemployment,1amv1,10,1351.666400,3.811406,36.764983,0.051799,26.811516,0.062593,4.398925,0.009712,0.323631,0.001186,0.091160,0.000300,0.977174,0.000063,74.583333,1.317616
chamados,Unemployment,1arima,1,3367.699228,,58.031881,,42.019087,,6.514029,,0.471761,,0.210958,,0.943808,,70.833333,
chamados,Unemployment,1as,1,1333.610030,,36.518626,,28.893152,,4.693777,,0.293356,,0.092337,,0.977216,,62.500000,
chamados,Unemployment,1mlp,10,1183.998243,18.154835,34.408364,0.263981,25.726000,0.137597,4.173930,0.024977,0.295132,0.007075,0.084109,0.001683,0.979531,0.000347,62.916667,1.317616
chamados,Unemployment,1svr,1,1153.225503,,33.959174,,24.521468,,4.013156,,0.237855,,0.077120,,0.980654,,70.833333,
chamados,airlines,1amv1,10,298.408388,0.718436,17.274490,0.020797,14.261889,0.026106,3.211346,0.005720,0.120222,0.000244,0.051842,0.000115,0.986995,0.000030,78.571429,0.000000
chamados,airlines,1arima,1,389.194049,,19.728002,,15.102607,,3.315326,,0.134713,,0.066301,,0.983139,,78.571429,
chamados,airlines,1as,1,230.024062,,15.166544,,13.829032,,3.067365,,0.089602,,0.039462,,0.990068,,92.857143,
chamados,airlines,1mlp,10,419.903504,42.240851,20.468505,1.024043,15.930294,0.645835,3.521727,0.149408,0.132856,0.007077,0.063714,0.005995,0.982854,0.001691,78.571429,0.000000
chamados,airlines,1svr,1,375.843583,,19.386686,,13.856390,,3.111161,,0.118322,,0.053837,,0.985155,,78.571429,
chamados,ausbee,1amv1,10,252.603770,0.724641,15.893499,0.022790,11.087586,0.020635,2.659053,0.005122,0.093377,0.000267,0.173074,0.000424,0.948767,0.000138,95.238095,0.000000
chamados,ausbee,1arima,1,274.997573,,16.583051,,13.227257,,3.156027,,0.112134,,0.211830,,0.940146,,95.238095,
chamados,ausbee,1as,1,286.388795,,16.923026,,11.633097,,2.803575,,0.102503,,0.187214,,0.943153,,95.238095,
chamados,ausbee,1mlp,10,257.598679,11.289671,16.046379,0.353411,10.932847,0.599546,2.612326,0.137959,0.086206,0.002641,0.171295,0.004549,0.948540,0.001694,95.238095,0.000000
chamados,ausbee,1svr,1,335.986862,,18.329944,,14.468123,,3.422244,,0.104916,,0.204601,,0.935664,,95.238095,
chamados,austres,1amv1,10,358.183561,0.896471,18.925725,0.023677,13.716421,0.057287,0.078415,0.000327,0.129770,0.000307,0.034912,0.000083,0.990997,0.000022,75.000000,0.000000
chamados,austres,1arima,1,358.130880,,18.924346,,13.710292,,0.078380,,0.129713,,0.034904,,0.990999,,75.000000,
chamados,austres,1as,1,357.661339,,18.911936,,14.242368,,0.081454,,0.129543,,0.034860,,0.991012,,75.000000,
chamados,austres,1mlp,10,174.970826,0.246356,13.227651,0.009307,10.000064,0.000378,0.057034,0.000002,0.074435,0.000077,0.016721,0.000024,0.995667,0.000006,87.500000,0.000000
chamados,austres,1svr,1,193.564723,,13.912754,,10.314447,,0.058814,,0.081070,,0.018572,,0.995194,,87.500000,
chamados,coloradoRiver,1amv1,10,0.110101,0.001001,0.331811,0.001508,0.266574,0.001312,29.186558,0.144609,0.753279,0.004022,0.698732,0.002281,0.662723,0.001738,57.027027,0.854670
chamados,coloradoRiver,1arima,1,0.104961,,0.323976,,0.262984,,28.817193,,0.755655,,0.698832,,0.667249,,52.702703,
chamados,coloradoRiver,1as,1,0.113540,,0.336957,,0.274324,,30.002046,,0.788322,,0.713788,,0.654406,,48.648649,
chamados,coloradoRiver,1mlp,10,0.018129,0.000794,0.134616,0.002937,0.106475,0.002882,13.295712,0.391889,0.832926,0.082883,0.586744,0.024505,0.870156,0.004688,68.243243,3.445283
chamados,coloradoRiver,1svr,1,0.016025,,0.126589,,0.101081,,12.764909,,0.866543,,0.604624,,0.878231,,67.567568,
chamados,gasoline,1amv1,10,41318.912550,48.871124,203.270508,0.120226,162.123786,0.096502,1.802177,0.001088,11.562332,0.141389,1.210064,0.005430,0.757078,0.000577,42.702703,1.139560
chamados,gasoline,1arima,1,40227.299583,,200.567444,,163.660667,,1.816828,,15.919786,,1.148582,,0.766106,,43.243243,
chamados,gasoline,1as,1,41339.642555,,203.321525,,161.420997,,1.794725,,12.037620,,1.258334,,0.755001,,45.945946,
chamados,gasoline,1mlp,10,42862.386394,625.367258,207.027362,1.512081,165.976406,1.472572,1.842920,0.015910,12.089171,0.489806,1.209940,0.036982,0.750670,0.005180,43.513514,1.661179
chamados,gasoline,1svr,1,45969.039234,,214.403916,,170.366131,,1.889711,,8.641945,,1.304089,,0.731922,,43.243243,
chamados,heartrate,1amv1,10,0.318435,0.000603,0.564300,0.000534,0.488175,0.000535,0.582015,0.000641,0.338486,0.000304,0.120872,0.000171,0.964470,0.000060,26.666667,0.000000
chamados,heartrate,1arima,1,0.266216,,0.515962,,0.465496,,0.555210,,0.277635,,0.104168,,0.969943,,26.666667,
chamados,heartrate,1as,1,0.553957,,0.744283,,0.663968,,0.791516,,0.333465,,0.284029,,0.924722,,20.000000,
chamados,heartrate,1mlp,10,0.773781,0.326367,0.863815,0.175136,0.756108,0.200422,0.906049,0.241761,1.918833,1.102875,0.314517,0.108844,0.905821,0.036223,33.333333,0.000000
chamados,heartrate,1svr,1,6.553573,,2.559995,,2.339560,,2.819059,,33.278475,,1.133331,,0.535772,,26.666667,
chamados,lakeerie,1amv1,10,0.148279,0.000460,0.385070,0.000597,0.284706,0.000879,1.778142,0.005324,0.379480,0.001629,0.078196,0.000299,0.979868,0.000070,66.500000,0.527046
chamados,lakeerie,1arima,1,0.139591,,0.373618,,0.282255,,1.765691,,0.371064,,0.074302,,0.980964,,71.666667,
chamados,lakeerie,1as,1,0.153525,,0.391823,,0.284823,,1.782172,,0.358521,,0.081370,,0.979087,,68.333333,
chamados,lakeerie,1mlp,10,0.166678,0.001884,0.408256,0.002310,0.298989,0.002206,1.855601,0.012948,0.421671,0.006290,0.090104,0.001035,0.977032,0.000263,70.000000,0.785674
chamados,lakeerie,1svr,1,0.175230,,0.418605,,0.312349,,1.943650,,0.397319,,0.093224,,0.976023,,73.333333,
chamados,lynx,1amv1,10,138359.249510,2553.717254,371.952241,3.460869,307.011785,1.993309,28.031262,0.173986,0.192050,0.002073,0.127911,0.001720,0.969011,0.000507,78.181818,4.694525
chamados,lynx,1arima,1,173091.148871,,416.042244,,362.710476,,22.349292,,0.308357,,0.208748,,0.955915,,81.818182,
chamados,lynx,1as,1,378113.669409,,614.909481,,516.711746,,40.586299,,0.416865,,0.343800,,0.913648,,72.727273,
chamados,lynx,1mlp,10,428879.926374,25572.589784,654.625037,19.606884,461.863988,14.867795,28.189199,1.274278,0.791013,0.044493,0.415402,0.025951,0.895677,0.006257,72.727273,0.000000
chamados,lynx,1svr,1,649991.661106,,806.220603,,645.717266,,36.792327,,1.785330,,0.610207,,0.843180,,72.727273,
chamados,milk,1amv1,10,26.974798,0.077790,5.193722,0.007486,4.194919,0.007306,0.505037,0.000897,0.030505,0.000094,0.007552,0.000021,0.998142,0.000005,93.333333,0.000000
chamados,milk,1arima,1,18.340360,,4.282565,,3.315296,,0.395627,,0.021327,,0.005282,,0.998720,,93.333333,
chamados,milk,1as,1,22.172827,,4.708803,,3.648817,,0.439497,,0.025100,,0.006220,,0.998472,,93.333333,
chamados,milk,1mlp,10,23.843304,2.820704,4.875095,0.292029,3.908167,0.310684,0.470127,0.039096,0.027481,0.003178,0.006732,0.000763,0.998352,0.000191,93.333333,0.000000
chamados,milk,1svr,1,21.465772,,4.633117,,3.962725,,0.475202,,0.024398,,0.005955,,0.998529,,93.333333,
chamados,ozon,1amv1,10,1.100991,0.001586,1.049281,0.000756,0.814140,0.001491,16.927318,0.049765,0.686921,0.002070,0.292820,0.000770,0.942153,0.000106,88.888889,0.000000
chamados,ozon,1arima,1,1.243090,,1.114939,,0.863563,,17.181047,,0.864500,,0.331024,,0.934331,,83.333333,
chamados,ozon,1as,1,1.978374,,1.406547,,1.130402,,23.349478,,0.747331,,0.463417,,0.897522,,77.777778,
chamados,ozon,1mlp,10,0.899434,0.010438,0.948371,0.005511,0.764399,0.004499,16.880788,0.145528,0.508247,0.008201,0.208289,0.002410,0.955693,0.000524,87.222222,2.683588
chamados,ozon,1svr,1,2.557373,,1.599179,,1.142297,,24.027600,,0.883162,,0.677024,,0.860362,,77.777778,
chamados,pollution,1amv1,10,805124.701690,3987.215271,897.284941,2.220400,734.903992,2.607766,27.552289,0.092543,0.325142,0.001531,0.664403,0.000919,0.739165,0.000625,76.923077,0.000000
chamados,pollution,1arima,1,801434.602532,,895.228799,,742.296757,,29.420365,,0.924405,,1.472344,,0.544834,,69.230769,
chamados,pollution,1as,1,891929.457725,,944.420170,,789.268193,,28.398687,,0.552515,,0.895892,,0.652534,,61.538462,
chamados,pollution,1mlp,10,652392.465731,59369.823071,806.945147,36.998431,649.996427,20.857415,25.098359,1.069474,0.276073,0.013184,0.607295,0.031223,0.771742,0.015869,66.153846,5.378507
chamados,pollution,1svr,1,1473428.184207,,1213.848501,,967.274887,,36.075164,,1.307680,,1.149008,,0.479331,,30.769231,
chamados,redwine,1amv1,10,87657.461294,760.009752,296.067512,1.286535,223.908093,1.067290,8.446173,0.042660,0.289595,0.004561,0.321057,0.004560,0.931502,0.000754,72.222222,0.000000
chamados,redwine,1arima,1,78593.384067,,280.345116,,238.713287,,9.424110,,0.280690,,0.237105,,0.944036,,72.222222,
chamados,redwine,1as,1,165561.986314,,406.893090,,299.076298,,12.061577,,0.419211,,0.355439,,0.896146,,77.777778,
chamados,redwine,1mlp,10,120007.628990,4341.880471,346.371494,6.183973,246.103377,4.774930,9.999808,0.223577,0.225251,0.006791,0.262953,0.008104,0.926222,0.002437,76.111111,3.749714
chamados,redwine,1svr,1,96759.599432,,311.062051,,260.498134,,10.843993,,0.152976,,0.185375,,0.945583,,77.777778,
chamados,sunspot,1amv1,10,362.686364,0.315737,19.044325,0.008290,15.845071,0.014115,40.827963,0.068423,0.336449,0.000616,0.203994,0.000252,0.950183,0.000049,60.714286,0.000000
chamados,sunspot,1arima,1,365.478709,,19.117497,,15.719171,,36.503112,,0.346894,,0.193887,,0.951367,,67.857143,
chamados,sunspot,1as,1,371.140259,,19.265001,,16.244065,,43.195324,,0.337611,,0.209816,,0.948849,,60.714286,
chamados,sunspot,1mlp,10,292.645546,18.173796,17.099446,0.531748,13.811472,0.230512,34.656022,0.883501,0.334567,0.007242,0.167420,0.009509,0.959794,0.002468,73.928571,4.470234
chamados,sunspot,1svr,1,414.087275,,20.349135,,15.496239,,32.831193,,0.506440,,0.285696,,0.937137,,82.142857,
chamados,taylor,1amv1,10,154998.149825,625.052588,393.697325,0.792974,290.400067,0.561764,1.010867,0.001868,0.139152,0.000474,0.005411,0.000021,0.998649,0.000005,82.307692,0.331884
chamados,taylor,1arima,1,152397.082530,,390.380689,,278.592423,,0.966112,,0.133708,,0.005298,,0.998674,,79.900744,
chamados,taylor,1as,1,131158.276121,,362.157806,,268.318743,,0.939587,,0.135093,,0.004640,,0.998849,,82.878412,
chamados,taylor,1mlp,10,299378.249573,103421.053024,540.608295,88.950177,403.916669,76.666117,1.439754,0.266131,0.316954,0.106797,0.010586,0.003715,0.997370,0.000918,81.960298,1.078763
chamados,taylor,1svr,1,111755.815084,,334.298991,,228.223102,,0.806471,,0.134938,,0.003998,,0.999014,,84.863524,
chamados,temperature,1amv1,10,7.650134,0.019162,2.765886,0.003463,2.339792,0.004260,4.924886,0.008233,0.385696,0.000926,0.145738,0.000461,0.965007,0.000100,75.000000,0.000000
chamados,temperature,1arima,1,8.875264,,2.979138,,2.358477,,4.968825,,0.482584,,0.162444,,0.960140,,79.166667,
chamados,temperature,1as,1,10.355443,,3.217987,,2.611723,,5.580690,,0.360353,,0.182301,,0.953950,,70.833333,
chamados,temperature,1mlp,10,6.114974,0.278875,2.472271,0.056278,2.069412,0.070595,4.324187,0.146448,0.347748,0.014669,0.101973,0.004556,0.973902,0.001178,79.166667,0.000000
chamados,temperature,1svr,1,7.130158,,2.670235,,2.308008,,4.802335,,0.382437,,0.112972,,0.970208,,79.166667,
chamados,woolyrnq,1amv1,10,191259.342897,530.546686,437.331695,0.606538,310.074166,0.888139,6.118958,0.016769,0.409764,0.001814,0.419180,0.001912,0.897787,0.000358,72.727273,0.000000
chamados,woolyrnq,1arima,1,184439.814285,,429.464567,,312.083429,,6.332390,,0.469119,,0.476446,,0.892980,,81.818182,
chamados,woolyrnq,1as,1,273819.065963,,523.277236,,416.600135,,8.217624,,0.495154,,0.730919,,0.835399,,54.545455,
chamados,woolyrnq,1mlp,10,288469.976701,266374.263522,509.026208,180.623294,338.206422,136.622475,6.732815,3.008409,0.400958,0.176655,0.506430,0.303666,0.857338,0.116616,71.818182,2.874798
chamados,woolyrnq,1svr,1,202717.380789,,450.241469,,320.665725,,6.371950,,0.375091,,0.434022,,0.891307,,72.727273,
